Date,Open,High,Low,Close,Adj Close,Volume
2017-06-29,2.700000,2.700000,2.650000,2.700000,2.700000,53203
2017-06-30,2.680000,2.950000,2.680000,2.950000,2.950000,21668
2017-07-03,3.020000,3.080000,3.000000,3.000000,3.000000,61756
2017-07-04,3.000000,3.020000,2.990000,3.000000,3.000000,64658
2017-07-05,3.000000,3.200000,2.990000,3.180000,3.180000,443935
2017-07-06,3.200000,3.200000,3.130000,3.150000,3.150000,308738
2017-07-07,3.150000,3.180000,3.060000,3.110000,3.110000,261677
2017-07-10,3.150000,3.150000,2.850000,2.930000,2.930000,431289
2017-07-11,2.890000,3.070000,2.890000,3.010000,3.010000,274609
2017-07-12,3.000000,3.050000,3.000000,3.030000,3.030000,153241
2017-07-13,3.030000,3.130000,3.030000,3.050000,3.050000,1064230
2017-07-14,3.060000,3.140000,3.060000,3.100000,3.100000,617484
2017-07-17,3.100000,3.100000,3.060000,3.090000,3.090000,283953
2017-07-18,3.080000,3.100000,3.070000,3.100000,3.100000,182952
2017-07-19,3.110000,3.110000,3.090000,3.100000,3.100000,338625
2017-07-20,3.100000,3.100000,3.070000,3.070000,3.070000,354679
2017-07-21,3.070000,3.100000,3.070000,3.100000,3.100000,164878
2017-07-24,3.100000,3.100000,3.020000,3.020000,3.020000,254877
2017-07-25,3.040000,3.100000,3.020000,3.060000,3.060000,151920
2017-07-26,3.060000,3.100000,3.060000,3.090000,3.090000,87030
2017-07-27,3.090000,3.100000,3.050000,3.090000,3.090000,115770
2017-07-28,3.090000,3.100000,3.050000,3.080000,3.080000,218704
2017-07-31,3.080000,3.100000,3.050000,3.100000,3.100000,172067
2017-08-01,3.100000,3.100000,3.050000,3.080000,3.080000,134267
2017-08-02,3.080000,3.080000,3.030000,3.050000,3.050000,100719
2017-08-03,3.050000,3.070000,3.010000,3.050000,3.050000,67434
2017-08-04,3.070000,3.080000,3.020000,3.070000,3.070000,80827
2017-08-07,3.070000,3.070000,3.030000,3.070000,3.070000,185869
2017-08-08,3.070000,3.070000,3.030000,3.050000,3.050000,266708
2017-08-09,3.060000,3.080000,3.030000,3.050000,3.050000,124166
2017-08-10,3.050000,3.070000,3.010000,3.040000,3.040000,201082
2017-08-11,3.010000,3.010000,2.960000,2.970000,2.970000,176465
2017-08-14,2.960000,3.040000,2.950000,3.040000,3.040000,232646
2017-08-15,3.040000,3.050000,2.950000,3.000000,3.000000,93835
2017-08-16,3.000000,3.010000,2.940000,3.010000,3.010000,104383
